接入ID,测试卷ID,学科,网页题号,素材ID,来源地区,年份,试卷名称,原卷题号,原题分值,网页分值,知识点ID,题型,难度,答案来源,评分标准来源,是否已核验,备注
MAP-MATH-001,PAPER-MATH-001,数学,1,,,,,,,,,M104,选择题,基础,,,否,
MAP-MATH-002,PAPER-MATH-001,数学,2,,,,,,,,,M103,选择题,基础,,,否,
MAP-MATH-003,PAPER-MATH-001,数学,3,,,,,,,,,M106,选择题,基础,,,否,
MAP-MATH-004,PAPER-MATH-001,数学,4,,,,,,,,,M109,选择题,基础,,,否,
MAP-MATH-005,PAPER-MATH-001,数学,5,,,,,,,,,M005,选择题,基础,,,否,
MAP-CHN-001,PAPER-CHN-001,语文,1,,,,,,,,,Y101,选择题,基础,,,否,
MAP-CHN-002,PAPER-CHN-001,语文,2,,,,,,,,,Y101,选择题,基础,,,否,
MAP-CHN-003,PAPER-CHN-001,语文,3,,,,,,,,,Y102,选择题,基础,,,否,
MAP-CHN-004,PAPER-CHN-001,语文,4,,,,,,,,,Y102,选择题,基础,,,否,
MAP-CHN-005,PAPER-CHN-001,语文,5,,,,,,,,,Y104,填空题,基础,,,否,
MAP-ENG-001,PAPER-ENG-001,英语,1,,,,,,,,,E101,选择题,基础,,,否,
MAP-ENG-002,PAPER-ENG-001,英语,2,,,,,,,,,E201,选择题,基础,,,否,
MAP-ENG-003,PAPER-ENG-001,英语,3,,,,,,,,,E102,选择题,基础,,,否,
MAP-ENG-004,PAPER-ENG-001,英语,4,,,,,,,,,E103,选择题,基础,,,否,
MAP-ENG-005,PAPER-ENG-001,英语,5,,,,,,,,,E202,选择题,基础,,,否,
MAP-PHY-001,PAPER-PHY-001,物理,1,,,,,,,,,P001,选择题,基础,,,否,
MAP-PHY-002,PAPER-PHY-001,物理,2,,,,,,,,,P002,选择题,基础,,,否,
MAP-PHY-003,PAPER-PHY-001,物理,3,,,,,,,,,P003,选择题,基础,,,否,
MAP-PHY-004,PAPER-PHY-001,物理,4,,,,,,,,,P004,选择题,基础,,,否,
MAP-PHY-005,PAPER-PHY-001,物理,5,,,,,,,,,P101,选择题,基础,,,否,
